Table,Pre_U_Mean,Pre_C_Mean,Pre_U_RMS,Pre_C_RMS,Ave_U_Mean,Ave_C_Mean,Ave_U_RMS,Ave_C_RMS
515_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0258591010823,0.0224964881874,0.0118388468019,0.00881563437469
515_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0254655736851,0.0222890429401,0.0116316792775,0.00866192675331
515_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0251614437956,0.0222597583308,0.0114561338941,0.00854398352651
515_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0248414404136,0.022174477039,0.0112865155038,0.0084307752436
515_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0244701126089,0.0226763930782,0.0110988742795,0.00869758863916
51_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0255681551339,0.0223134522364,0.0117167353187,0.00855630898423
51_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0259620480577,0.0226887725642,0.0119247364506,0.00881322424797
51_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0255910811464,0.0223386881354,0.011739735357,0.00867561390093
51_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0259789308165,0.0219984306786,0.0119864102771,0.00854118654623
51_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0263337962001,0.0216752004038,0.0121855358609,0.00841402537371
51_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0260130785436,0.0213614319254,0.0120017541628,0.00828689881527
55_sec_build_vio,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0256900324652,0.0211103636494,0.0118272152689,0.00816761799158
55_sec_bus_lic,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0260438262271,0.0208736067248,0.0120209587478,0.00805752114852
55_sec_chi_crime,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0257433950567,0.0206374594021,0.0118564325069,0.00794123544011
55_sec_contracts,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0261179331693,0.0204414078776,0.0120423405982,0.00783469405093
55_sec_food_inspec,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0264496469622,0.0202659744734,0.0122228774446,0.0077491706697
55_sec_graf_rmv,0.027870528962516558,0.026191175503583193,8.83196237682e-05,8.51342412388e-05,0.0261752725374,0.0206931748507,0.0120540084134,0.00798052612729
